日期,股票代码,股票名称,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,涨跌额,换手率
2026-02-11,000001,平安银行,11.06,11.09,11.02,11.07,43104098.0,476801864.0,0.09,0.01,0.0
2026-02-11,000002,万  科Ａ,4.88,4.91,4.83,4.89,135996585.0,661327511.0,0.2,0.01,0.0
2026-02-11,000004,*ST国华,8.38,8.38,8.38,8.38,501900.0,4205922.0,-4.99,-0.44,0.0
2026-02-11,000006,深振业Ａ,9.28,9.49,9.21,9.35,20875483.0,195574672.0,1.08,0.1,0.0
2026-02-11,000007,全新好,12.15,12.28,12.0,12.1,5473250.0,66536505.0,-0.41,-0.05,0.0
2026-02-11,000008,神州高铁,3.03,3.05,3.01,3.02,27754047.0,84094133.0,-0.33,-0.01,0.0
2026-02-11,000009,中国宝安,9.57,9.63,9.53,9.54,13680471.0,131042981.0,-0.31,-0.03,0.0
2026-02-11,000010,美丽生态,3.66,3.66,3.56,3.58,17440000.0,62622075.0,-1.1,-0.04,0.0
2026-02-11,000011,深物业A,9.17,9.28,9.13,9.23,4926100.0,45421063.0,0.65,0.06,0.0
2026-02-11,000012,南  玻Ａ,4.71,4.84,4.69,4.79,34998245.0,167847098.0,1.7,0.08,0.0
2026-02-11,000014,沙河股份,14.73,15.05,14.49,14.8,27351194.0,406164986.0,1.79,0.26,0.0
2026-02-11,000016,深康佳Ａ,4.03,4.07,3.9,3.91,60244306.0,238988669.0,-2.74,-0.11,0.0
2026-02-11,000017,深中华A,7.75,7.79,7.63,7.69,7525060.0,58112713.0,-0.77,-0.06,0.0
2026-02-11,000019,深粮控股,7.1,7.16,7.07,7.13,6745050.0,48018738.0,0.28,0.02,0.0
2026-02-11,000020,深华发Ａ,15.42,15.46,15.2,15.3,3423800.0,52328862.0,-0.84,-0.13,0.0
2026-02-11,000021,深科技,28.4,28.77,28.08,28.12,38740419.0,1097117736.0,-1.99,-0.57,0.0
2026-02-11,000025,特  力Ａ,18.35,18.58,18.29,18.44,5359324.0,99000596.0,0.33,0.06,0.0
2026-02-11,000026,飞亚达,15.75,15.92,15.57,15.69,3375800.0,53193966.0,0.26,0.04,0.0
2026-02-11,000027,深圳能源,6.69,6.75,6.69,6.71,13830576.0,92916509.0,0.3,0.02,0.0
2026-02-11,000028,国药一致,26.29,26.29,26.11,26.18,2792633.0,73162300.0,-0.08,-0.02,0.0
2026-02-11,000029,深深房Ａ,21.78,23.75,21.62,23.21,15671742.0,362216060.0,6.96,1.51,0.0
2026-02-11,000030,富奥股份,5.49,5.56,5.45,5.5,16647321.0,91762134.0,1.1,0.06,0.0
2026-02-11,000031,大悦城,3.57,3.65,3.49,3.58,40390931.0,144357302.0,1.42,0.05,0.0
2026-02-11,000032,深桑达Ａ,20.5,20.85,20.4,20.42,12342771.0,254195173.0,-0.63,-0.13,0.0
2026-02-11,000034,神州数码,37.6,38.18,37.36,37.49,11801073.0,446055745.0,-0.56,-0.21,0.0
2026-02-11,000035,中国天楹,5.86,5.97,5.8,5.86,18284000.0,107814971.0,0.17,0.01,0.0
2026-02-11,000036,华联控股,5.54,5.68,5.5,5.59,34110584.0,190584971.0,0.72,0.04,0.0
2026-02-11,000037,深南电A,9.53,9.68,9.51,9.63,10578680.0,101925390.0,1.16,0.11,0.0
2026-02-11,000039,中集集团,10.9,11.74,10.89,11.25,106988068.0,1221728023.0,1.81,0.2,0.0
2026-02-11,000042,中洲控股,9.29,9.61,9.24,9.44,7833000.0,74243762.0,1.61,0.15,0.0
2026-02-11,000045,深纺织Ａ,13.09,13.37,13.0,13.16,8787651.0,115885267.0,0.15,0.02,0.0
2026-02-11,000048,京基智农,17.38,17.5,17.21,17.45,5798134.0,100868795.0,0.46,0.08,0.0
2026-02-11,000049,德赛电池,26.16,26.4,26.08,26.31,2582808.0,67964368.0,0.57,0.15,0.0
2026-02-11,000050,深天马Ａ,9.69,9.84,9.65,9.68,21836783.0,213046314.0,-0.21,-0.02,0.0
2026-02-11,000055,方大集团,4.05,4.07,4.02,4.04,7229405.0,29264762.0,0.0,0.0,0.0
2026-02-11,000056,皇庭国际,2.28,2.36,2.17,2.17,210580916.0,465749819.0,-9.96,-0.24,0.0
2026-02-11,000058,深 赛 格,9.25,9.33,9.22,9.27,8255300.0,76657484.0,0.22,0.02,0.0
2026-02-11,000059,华锦股份,5.9,6.1,5.86,6.0,29570332.0,177661264.0,1.87,0.11,0.0
2026-02-11,000060,中金岭南,6.87,7.32,6.84,7.12,211979321.0,1504383875.0,3.79,0.26,0.0
2026-02-11,000061,农 产 品,9.17,9.2,9.07,9.18,7623083.0,69737193.0,0.11,0.01,0.0
2026-02-11,000062,深圳华强,24.6,24.7,24.36,24.37,5440290.0,133331229.0,-1.1,-0.27,0.0
2026-02-11,000063,中兴通讯,37.58,37.88,37.31,37.35,52536731.0,1972593942.0,-0.61,-0.23,0.0
2026-02-11,000065,北方国际,11.87,12.0,11.79,11.91,13579558.0,161779144.0,0.34,0.04,0.0
2026-02-11,000066,中国长城,16.14,16.32,15.99,15.99,66042641.0,1066283944.0,-1.54,-0.25,0.0
2026-02-11,000068,华控赛格,3.56,3.59,3.52,3.55,9980189.0,35511242.0,-0.28,-0.01,0.0
2026-02-11,000069,华侨城Ａ,2.72,2.73,2.69,2.69,47124081.0,127683325.0,-1.47,-0.04,0.0
2026-02-11,000070,特发信息,17.73,17.73,17.73,17.73,10224923.0,181287885.0,9.99,1.61,0.0
2026-02-11,000078,海王生物,3.7,3.72,3.6,3.61,96100680.0,350429625.0,-3.22,-0.12,0.0
2026-02-11,000088,盐 田 港,4.57,4.62,4.56,4.59,29248828.0,134474744.0,0.66,0.03,0.0
2026-02-11,000089,深圳机场,7.2,7.27,7.18,7.23,7390060.0,53381096.0,0.56,0.04,0.0
2026-02-11,000090,天健集团,4.01,4.03,3.98,3.99,19383004.0,77642476.0,-0.5,-0.02,0.0
2026-02-11,000096,广聚能源,11.05,11.15,10.96,10.98,6643400.0,73388961.0,-0.99,-0.11,0.0
2026-02-11,000099,中信海直,20.7,20.88,20.5,20.51,26557237.0,550339236.0,1.08,0.22,0.0
2026-02-11,000100,TCL科技,4.82,4.85,4.71,4.72,355049129.0,1690832619.0,-2.28,-0.11,0.0
2026-02-11,000151,中成股份,13.72,13.77,13.39,13.68,4311897.0,59028080.0,-0.36,-0.05,0.0
2026-02-11,000153,丰原药业,6.72,6.75,6.69,6.7,3733901.0,25072145.0,-0.15,-0.01,0.0
2026-02-11,000155,川能动力,12.44,12.86,12.43,12.7,26495075.0,335642636.0,2.09,0.26,0.0
2026-02-11,000156,华数传媒,9.9,10.01,9.26,9.38,121835675.0,1151512282.0,-4.58,-0.45,0.0
2026-02-11,000157,中联重科,9.68,9.87,9.65,9.75,68155123.0,665630427.0,0.72,0.07,0.0
2026-02-11,000158,常山北明,20.33,20.49,20.17,20.17,20468244.0,415764638.0,-0.79,-0.16,0.0
2026-02-11,000159,国际实业,6.86,6.97,6.83,6.87,14427952.0,99716072.0,-0.15,-0.01,0.0
2026-02-11,000166,申万宏源,5.1,5.12,5.09,5.09,52088235.0,265964208.0,-0.2,-0.01,0.0
2026-02-11,000301,东方盛虹,12.76,13.52,12.61,13.2,38861984.0,513864717.0,3.45,0.44,0.0
2026-02-11,000333,美的集团,80.0,80.21,79.6,79.69,19806640.0,1581382077.0,-0.62,-0.5,0.0
2026-02-11,000338,潍柴动力,25.64,26.44,25.58,25.97,87149540.0,2270345421.0,0.31,0.08,0.0
2026-02-11,000400,许继电气,30.23,30.77,30.06,30.16,18186052.0,551627332.0,-0.89,-0.27,0.0
2026-02-11,000401,金隅冀东,5.2,5.24,5.14,5.2,24972708.0,129750944.0,0.39,0.02,0.0
2026-02-11,000402,金 融 街,2.9,2.9,2.87,2.89,21493200.0,62050897.0,0.0,0.0,0.0
2026-02-11,000403,派林生物,13.72,13.8,13.7,13.74,3714681.0,51070607.0,0.0,0.0,0.0
2026-02-11,000404,长虹华意,7.22,7.29,7.2,7.21,9837011.0,71257308.0,-0.41,-0.03,0.0
2026-02-11,000407,胜利股份,5.08,5.13,5.03,5.03,28758200.0,146002029.0,-1.18,-0.06,0.0
2026-02-11,000408,藏格矿业,84.56,86.2,84.5,84.84,10479936.0,892654887.0,-0.24,-0.2,0.0
2026-02-11,000409,云鼎科技,11.91,11.97,11.81,11.81,7682561.0,91242487.0,-1.09,-0.13,0.0
2026-02-11,000410,沈阳机床,7.46,7.48,7.38,7.39,14677590.0,108945091.0,-0.94,-0.07,0.0
2026-02-11,000411,英特集团,12.42,12.42,12.1,12.14,7880077.0,96281142.0,-1.94,-0.24,0.0
2026-02-11,000415,渤海租赁,5.34,5.34,5.17,5.21,138341567.0,724083379.0,-1.7,-0.09,0.0
2026-02-11,000417,合百集团,8.26,8.49,8.19,8.3,20664810.0,172179812.0,0.61,0.05,0.0
2026-02-11,000419,通程控股,6.67,6.72,6.62,6.67,11063599.0,73909022.0,0.0,0.0,0.0
2026-02-11,000420,吉林化纤,4.55,4.72,4.52,4.6,87816941.0,408005964.0,0.88,0.04,0.0
2026-02-11,000421,南京公用,7.04,7.1,7.02,7.03,6671300.0,47014379.0,-0.57,-0.04,0.0
2026-02-11,000422,湖北宜化,15.6,16.32,15.58,15.93,47516883.0,761199474.0,1.72,0.27,0.0
2026-02-11,000423,东阿阿胶,55.07,56.13,54.82,55.44,5683509.0,315944406.0,0.33,0.18,0.0
2026-02-11,000425,徐工机械,11.98,12.24,11.95,12.1,82775373.0,1003288047.0,1.26,0.15,0.0
2026-02-11,000426,兴业银锡,49.45,50.98,49.41,50.39,52484843.0,2635645186.0,1.55,0.77,0.0
2026-02-11,000428,华天酒店,3.96,3.99,3.87,3.96,22031234.0,86895382.0,0.0,0.0,0.0
2026-02-11,000429,粤高速Ａ,12.4,12.44,12.3,12.3,3234501.0,39872875.0,-0.57,-0.07,0.0
2026-02-11,000488,ST晨鸣,2.17,2.2,2.16,2.17,20688000.0,45151144.0,0.0,0.0,0.0
2026-02-11,000498,山东路桥,6.25,6.29,6.22,6.27,7300500.0,45784878.0,0.32,0.02,0.0
2026-02-11,000501,武商集团,9.75,9.92,9.69,9.79,15870165.0,155567187.0,-2.0,-0.2,0.0
2026-02-11,000503,国新健康,9.61,9.62,9.5,9.53,7615088.0,72634481.0,-0.83,-0.08,0.0
2026-02-11,000504,*ST生物,8.95,8.96,8.84,8.84,1809510.0,16066719.0,-1.01,-0.09,0.0
2026-02-11,000505,京粮控股,7.17,7.18,7.06,7.07,12833357.0,91159075.0,-1.67,-0.12,0.0
2026-02-11,000506,招金黄金,19.36,20.1,19.27,19.83,51600932.0,1021258967.0,2.43,0.47,0.0
2026-02-11,000507,珠海港,5.46,5.57,5.45,5.49,14049989.0,77334633.0,0.55,0.03,0.0
2026-02-11,000509,华塑控股,3.55,3.55,3.51,3.51,10345303.0,36469934.0,-1.13,-0.04,0.0
2026-02-11,000510,新金路,15.05,16.48,14.83,16.48,46559718.0,741318317.0,10.01,1.5,0.0
2026-02-11,000513,丽珠集团,35.51,35.65,35.45,35.47,2926922.0,104000614.0,-0.34,-0.12,0.0
2026-02-11,000514,渝 开 发,5.22,5.25,5.18,5.21,10384722.0,54184996.0,-0.19,-0.01,0.0
2026-02-11,000516,国际医学,4.97,4.97,4.88,4.88,35092400.0,172237826.0,-1.61,-0.08,0.0
2026-02-11,000517,荣安地产,2.16,2.25,2.13,2.24,59355243.0,130535430.0,3.7,0.08,0.0
2026-02-11,000518,*ST四环,2.57,2.6,2.55,2.6,11818311.0,30369664.0,0.0,0.0,0.0
2026-02-11,000519,中兵红箭,18.65,18.75,18.39,18.42,21534642.0,399527139.0,-1.44,-0.27,0.0
2026-02-11,000520,凤凰航运,4.58,4.68,4.57,4.64,19993232.0,92790348.0,1.09,0.05,0.0
2026-02-11,000521,长虹美菱,6.68,6.71,6.66,6.67,7437700.0,49755834.0,-0.3,-0.02,0.0
2026-02-11,000523,红棉股份,4.01,4.01,3.88,3.89,72273620.0,283923236.0,-3.23,-0.13,0.0
2026-02-11,000524,岭南控股,12.9,12.94,12.55,12.59,12033312.0,152536090.0,-2.78,-0.36,0.0
2026-02-11,000525,红太阳,6.53,7.05,6.44,6.76,154796329.0,1047486680.0,5.46,0.35,0.0
2026-02-11,000526,学大教育,38.59,38.59,38.03,38.07,1441400.0,55053019.0,-1.53,-0.59,0.0
2026-02-11,000528,柳    工,11.8,11.99,11.79,11.85,25235156.0,300395039.0,0.25,0.03,0.0
2026-02-11,000529,广弘控股,6.27,6.29,6.23,6.24,5417774.0,33898167.0,-0.32,-0.02,0.0
